instruction,output
Show the current number of active TCP connections.,node_netstat_Tcp_CurrEstab
What is the 90th percentile of response times in the last 24 hours?,"histogram_quantile(0.90, sum(rate(http_request_duration_seconds_bucket[24h])) by (le))"
Display the average memory usage per pod in the last hour.,avg(rate(container_memory_usage_bytes[1h])) by (pod)
Show the total number of errors in the last 5 minutes.,sum(rate(errors_total[5m]))
What is the current swap usage?,node_memory_SwapTotal_bytes - node_memory_SwapFree_bytes
Display the average disk I/O wait time for the past day.,avg_over_time(node_disk_io_time_seconds_total[1d])
Show the network receive errors on eth1 in the last hour.,"rate(node_network_receive_errs_total{device=""eth1""}[1h])"
What is the minimum available memory in the last 24 hours?,min_over_time(node_memory_MemAvailable_bytes[24h])
Show the total number of requests per second for the last 10 minutes.,sum(rate(http_requests_total[10m]))
Display the CPU usage for each core in the last hour.,rate(node_cpu_seconds_total[1h]) by (cpu)
What is the total number of disk write operations in the last 30 minutes?,sum(rate(node_disk_writes_completed_total[30m]))
Show the current number of active threads.,node_threads
Display the 99th percentile of request durations for the last hour.,"histogram_quantile(0.99, sum(rate(http_request_duration_seconds_bucket[1h])) by (le))"
What is the average memory usage for the past week?,avg_over_time(node_memory_MemTotal_bytes[1w])
Show the total number of network packets received in the last 15 minutes.,sum(rate(node_network_receive_packets_total[15m]))
Display the current disk space usage for /home.,"node_filesystem_size_bytes{mountpoint=""/home""} - node_filesystem_free_bytes{mountpoint=""/home""}"
What is the maximum load average for the last day?,max_over_time(node_load1[1d])
Show the total number of successful HTTP responses (status 200) in the last hour.,"sum(rate(http_requests_total{status=""200""}[1h]))"
Display the average network transmit rate for eth1 in the past 5 minutes.,"avg(rate(node_network_transmit_bytes_total{device=""eth1""}[5m]))"
What is the total number of database connections in the last 24 hours?,sum(rate(db_connections_total[24h]))
Show the average CPU temperature for the past hour.,avg_over_time(node_hwmon_temp_celsius[1h])
Display the current number of open file descriptors.,node_filefd_allocated
What is the 95th percentile of memory usage for the past day?,"histogram_quantile(0.95, sum(rate(node_memory_MemTotal_bytes_bucket[1d])) by (le))"
Show the total number of network packets transmitted in the last hour.,sum(rate(node_network_transmit_packets_total[1h]))
Display the disk read latency for the past 30 minutes.,rate(node_disk_read_time_seconds_total[30m])
What is the average response time for the last 10 minutes?,avg(rate(http_request_duration_seconds_sum[10m]) / rate(http_request_duration_seconds_count[10m]))
Show the current number of open TCP connections.,node_netstat_Tcp_ActiveOpens
Display the total number of failed login attempts in the last 24 hours.,sum(rate(failed_login_attempts_total[24h]))
What is the minimum CPU usage recorded in the last 5 minutes?,min_over_time(rate(node_cpu_seconds_total[5m]))
Show the total number of bytes written to disk in the last hour.,sum(rate(node_disk_written_bytes_total[1h]))
Display the 99th percentile of disk write latency for the past day.,"histogram_quantile(0.99, sum(rate(node_disk_write_time_seconds_bucket[1d])) by (le))"
What is the average network receive rate for eth0 in the last 15 minutes?,"avg(rate(node_network_receive_bytes_total{device=""eth0""}[15m]))"
Show the total number of cache hits in the last 5 minutes.,sum(rate(cache_hits_total[5m]))
Display the maximum memory usage for each pod in the last hour.,max(rate(container_memory_usage_bytes[1h])) by (pod)
What is the current number of running containers?,container_threads
Show the average disk write rate for the last 24 hours.,avg(rate(node_disk_written_bytes_total[24h]))
Display the 95th percentile of network transmit rate for eth1 in the past week.,"histogram_quantile(0.95, sum(rate(node_network_transmit_bytes_total{device=""eth1""}[1w])) by (le))"
What is the total number of errors per second in the last 30 minutes?,sum(rate(errors_total[30m]))
What is the current swap memory usage?,node_memory_SwapTotal_bytes - node_memory_SwapFree_bytes
Show the total number of HTTP POST requests in the last 24 hours.,"sum(rate(http_requests_total{method=""POST""}[24h]))"
Display the disk read bytes rate for the last 10 minutes.,rate(node_disk_read_bytes_total[10m])
What is the maximum memory usage recorded in the last hour?,max_over_time(node_memory_MemTotal_bytes[1h])
Show the average CPU usage for each node in the last day.,avg(rate(node_cpu_seconds_total[1d])) by (node)
Display the total number of cache misses in the last 5 minutes.,sum(rate(cache_misses_total[5m]))
What is the 75th percentile of response times for the last week?,"histogram_quantile(0.75, sum(rate(http_request_duration_seconds_bucket[1w])) by (le))"
Show the current number of active Kubernetes pods.,kube_pod_info
Display the network transmit errors on eth0 in the last hour.,"rate(node_network_transmit_errs_total{device=""eth0""}[1h])"
What is the minimum load average for the last 5 minutes?,min_over_time(node_load1[5m])
Show the total number of successful database queries in the last 24 hours.,sum(rate(db_queries_success_total[24h]))
Display the current CPU throttling rate.,container_cpu_cfs_throttled_seconds_total
What is the average disk read latency for the past day?,avg_over_time(node_disk_read_time_seconds_total[1d])
Show the total number of HTTP GET requests in the last hour.,"sum(rate(http_requests_total{method=""GET""}[1h]))"
Display the 99th percentile of memory usage for the past week.,"histogram_quantile(0.99, sum(rate(node_memory_MemTotal_bytes_bucket[1w])) by (le))"
What is the maximum CPU temperature recorded in the last 24 hours?,max_over_time(node_hwmon_temp_celsius[24h])
Show the total number of disk read operations in the last 10 minutes.,sum(rate(node_disk_reads_completed_total[10m]))
Display the average network receive rate for eth1 in the past 30 minutes.,"avg(rate(node_network_receive_bytes_total{device=""eth1""}[30m]))"
What is the total number of HTTP 404 errors in the last day?,"sum(rate(http_requests_total{status=""404""}[1d]))"
Show the current number of blocked processes.,node_procs_blocked
Display the 95th percentile of CPU usage for each core in the last hour.,"histogram_quantile(0.95, sum(rate(node_cpu_seconds_total[1h])) by (le, cpu))"
What is the average disk write latency for the past week?,avg_over_time(node_disk_write_time_seconds_total[1w])
Show the total number of network packets dropped on eth0 in the last 5 minutes.,"sum(rate(node_network_dropped_total{device=""eth0""}[5m]))"
Display the maximum memory usage per container in the last 24 hours.,max(rate(container_memory_usage_bytes[1d])) by (container)
What is the total number of TCP retransmissions in the last 30 minutes?,sum(rate(tcp_retransmissions_total[30m]))
Show the current number of active database connections.,db_active_connections
Display the average load for each node in the past day.,avg_over_time(node_load1[1d]) by (node)
What is the 90th percentile of response times for each endpoint in the last hour?,"histogram_quantile(0.90, sum(rate(http_request_duration_seconds_bucket[1h])) by (le, endpoint))"
Show the total number of HTTP PUT requests in the last 15 minutes.,"sum(rate(http_requests_total{method=""PUT""}[15m]))"
Display the current disk space usage for /data.,"node_filesystem_size_bytes{mountpoint=""/data""} - node_filesystem_free_bytes{mountpoint=""/data""}"
What is the average network transmit rate for eth0 in the last week?,"avg(rate(node_network_transmit_bytes_total{device=""eth0""}[1w]))"
Show the total number of failed HTTP responses (status 500) in the last 24 hours.,"sum(rate(http_requests_total{status=""500""}[1d]))"
Display the current number of open TCP connections to the application.,app_open_tcp_connections
What is the maximum swap usage in the last hour?,max_over_time(node_memory_SwapTotal_bytes - node_memory_SwapFree_bytes[1h])
Show the total number of successful login attempts in the last 10 minutes.,sum(rate(successful_login_attempts_total[10m]))
Display the average CPU usage for each pod in the last 5 minutes.,avg(rate(container_cpu_usage_seconds_total[5m])) by (pod)
What is the minimum memory usage recorded in the last 24 hours?,min_over_time(node_memory_MemTotal_bytes[1d])
Show the total number of database queries per second in the last hour.,sum(rate(db_queries_total[1h]))
Display the 75th percentile of disk write latency for the past day.,"histogram_quantile(0.75, sum(rate(node_disk_write_time_seconds_bucket[1d])) by (le))"
What is the average network receive rate for eth0 in the last 10 minutes?,"avg(rate(node_network_receive_bytes_total{device=""eth0""}[10m]))"
Show the total number of HTTP DELETE requests in the last hour.,"sum(rate(http_requests_total{method=""DELETE""}[1h]))"
Display the current number of open file handles.,node_filefd_allocated
What is the maximum CPU usage for each node in the last 24 hours?,max(rate(node_cpu_seconds_total[1d])) by (node)
Show the total number of network packets received on eth1 in the last day.,"sum(rate(node_network_receive_packets_total{device=""eth1""}[1d]))"
Display the average memory usage for each container in the past hour.,avg(rate(container_memory_usage_bytes[1h])) by (container)
What is the total number of disk write operations in the last 30 minutes?,sum(rate(node_disk_writes_completed_total[30m]))
Show the 99th percentile of network transmit rate for eth0 in the last week.,"histogram_quantile(0.99, sum(rate(node_network_transmit_bytes_total{device=""eth0""}[1w])) by (le))"
Display the current number of running threads.,node_threads
What is the average HTTP response time for each endpoint in the last 24 hours?,avg(rate(http_request_duration_seconds_sum[1d]) / rate(http_request_duration_seconds_count[1d])) by (endpoint)
